id_day,date,description,death_date,description_lower
11,2024-06-01,"Em Tréveris, na Lorena, São Simeão , filho de um grego de Siracusa, que levou vida eremítica junto a Belém e no Monte Sinai e, depois de longas peregrinações, viveu até à morte recluso na torre da Porta Negra desta cidade.",(† 1035),"em tréveris, na lorena, são simeão , filho de um grego de siracusa, que levou vida eremítica junto a belém e no monte sinai e, depois de longas peregrinações, viveu até à morte recluso na torre da porta negra desta cidade."
12,2024-06-01,"No mosteiro de Oña, no território de Burgos, em Castela, região da Espanha, Santo Ínhigo , abade, homem pacífico, cuja morte choraram os próprios Judeus e Mouros.",(† c.1060),"no mosteiro de oña, no território de burgos, em castela, região da espanha, santo ínhigo , abade, homem pacífico, cuja morte choraram os próprios judeus e mouros."
13,2024-06-01,"Em Alba, no Piemonte, região da Itália, o Beato Teobaldo , que, movido pelo amor da pobreza, deu toda a sua fortuna a uma viúva e por humildade tomou o ofício de carregador, para levar sobre si o fardo dos outros.",(† 1150),"em alba, no piemonte, região da itália, o beato teobaldo , que, movido pelo amor da pobreza, deu toda a sua fortuna a uma viúva e por humildade tomou o ofício de carregador, para levar sobre si o fardo dos outros."
14,2024-06-01,"Em Urbino, no Piceno, região da Itália, o beato João Pellingotto , da Ordem Terceira de São Francisco, que, sendo comerciante, procurava enriquecer mais os outros do que a si mesmo e, retirando-se numa cela, só de lá saía para ajudar os pobres e os enfermos.",(† 1304),"em urbino, no piceno, região da itália, o beato joão pellingotto , da ordem terceira de são francisco, que, sendo comerciante, procurava enriquecer mais os outros do que a si mesmo e, retirando-se numa cela, só de lá saía para ajudar os pobres e os enfermos."
15,2024-06-01,"Em Londres, na Inglaterra, o Beato João Storey , mártir, jurista, que permaneceu fidelíssimo ao Romano Pontífice. Depois de passar pelos cárceres e pelo exílio, foi condenado à morte e, sofrendo o suplício da forca no patíbulo de Tyburn, emigrou para a felicidade eterna.",(† 1571),"em londres, na inglaterra, o beato joão storey , mártir, jurista, que permaneceu fidelíssimo ao romano pontífice. depois de passar pelos cárceres e pelo exílio, foi condenado à morte e, sofrendo o suplício da forca no patíbulo de tyburn, emigrou para a felicidade eterna."
16,2024-06-01,"Em Omura, no Japão, os beatos mártires Afonso Navarrete , da Ordem dos Pregadores, Fernando de São José de Ayala , da Ordem dos Eremitas de Santo Agostinho, presbíteros, e Leão Tanaka , religioso da Companhia de Jesus, que, por edito do comandante supremo Hidetada, foram degolados ao mesmo tempo em ódio à fé cristã.",(† 1617),"em omura, no japão, os beatos mártires afonso navarrete , da ordem dos pregadores, fernando de são josé de ayala , da ordem dos eremitas de santo agostinho, presbíteros, e leão tanaka , religioso da companhia de jesus, que, por edito do comandante supremo hidetada, foram degolados ao mesmo tempo em ódio à fé cristã."
17,2024-06-01,"Num barco-prisão, ancorado ao largo de Rochefort, na França, o Beato João Baptista Vernoy de Montjournal , presbítero e mártir, que, sendo cónego de Moulins, durante a Revolução Francesa, por causa da sua condição de sacerdote foi condenado ao cárcere na galera e aí morreu consumido pela enfermidade.",(† 1794),"num barco-prisão, ancorado ao largo de rochefort, na frança, o beato joão baptista vernoy de montjournal , presbítero e mártir, que, sendo cónego de moulins, durante a revolução francesa, por causa da sua condição de sacerdote foi condenado ao cárcere na galera e aí morreu consumido pela enfermidade."
18,2024-06-01,"Em Hung Yen, no Tonquim, no actual Vietnam, São José Tuc , mártir, jovem agricultor, que, no tempo do imperador Tu Duc, por ter recusado calcar a cruz, foi várias vezes detido no cárcere e torturado e finalmente degolado.",(† 1862),"em hung yen, no tonquim, no actual vietnam, são josé tuc , mártir, jovem agricultor, que, no tempo do imperador tu duc, por ter recusado calcar a cruz, foi várias vezes detido no cárcere e torturado e finalmente degolado."
19,2024-06-01,"Em Piacenza, na Itália, são João Batista Scalabrini , bispo, que teve uma atividade multiforme nesta Igreja e se distinguiu pela solicitude para com os sacerdotes, os agricultores e os operários, mas prestou especial atenção aos emigrantes nas cidades da América, para os quais fundou as Pias Sociedades do Sagrado Coração.",(† 1905),"em piacenza, na itália, são joão batista scalabrini , bispo, que teve uma atividade multiforme nesta igreja e se distinguiu pela solicitude para com os sacerdotes, os agricultores e os operários, mas prestou especial atenção aos emigrantes nas cidades da américa, para os quais fundou as pias sociedades do sagrado coração."
20,2024-06-01,"Em Messina, na Sicília, também na Itália, Santo Aníbal Maria Di Frância , presbítero, que fundou as Congregações dos Rogacionistas do Coração de Jesus e das Filhas do Zelo Divino, com a finalidade de pedir ao Senhor para que enriquecesse a sua Igreja com santos sacerdotes, e se dedicou com grande zelo aos órfãos, abrindo aos pobres as mãos da misericórdia de Deus.",(† 1927),"em messina, na sicília, também na itália, santo aníbal maria di frância , presbítero, que fundou as congregações dos rogacionistas do coração de jesus e das filhas do zelo divino, com a finalidade de pedir ao senhor para que enriquecesse a sua igreja com santos sacerdotes, e se dedicou com grande zelo aos órfãos, abrindo aos pobres as mãos da misericórdia de deus."
