date,description,death_date
2024-01-06,"<p><strong>3.   </strong>Em Nantes, na Bretanha Menor, região da actual França, São <strong>Félix</strong>, bispo, que deu testemunho insigne de zelo apostólico ao serviço dos seus concidadãos, construiu a igreja catedral e evangelizou com intenso ardor as populações rurais.</p>",(† 582)
2024-01-06,"<p><strong>4*.   </strong>Em Würzburg, na Francónia, hoje na Alemanha, São <strong>Macário</strong>, abade, que foi o primeiro prelado do mosteiro dos Escoceses nesta cidade.</p>",(† 1153)
2024-01-06,"<p><strong>5.   </strong>Em Barcelona, na Catalunha, região da Espanha, São <strong>Raimundo</strong> <strong>de Penhaforte</strong>, cuja memória se celebra no dia seguinte.</p>",(† 1275)
2024-01-06,"<p><strong>6*.   </strong>Em Famagusta, na ilha de Chipre, o passamento de São <strong>Pedro Tomás</strong>, bispo de Constantinopla, da Ordem dos Carmelitas, que exerceu a missão de legado do Romano Pontífice no Oriente.</p>",(† 1366)
2024-01-06,"<p><strong>7.   </strong>Em Fiésole, na Etrúria, actualmente na Toscana, região da Itália, Santo <strong>André</strong> <strong>Corsíni</strong>, bispo, da Ordem dos Carmelitas, que se tornou memorável pela sua vida austera e assídua meditação da Sagrada Escritura, reconstruiu os conventos devastados pela peste, governou sabiamente a sua Igreja, prestou auxílio aos pobres e reconciliou os inimigos.</p>",(† 1373)
2024-01-06,"<p><strong>8.   </strong>Em Valência, na Espanha, São <strong>João</strong> <strong>de</strong> <strong>Ribera</strong>, bispo, que exerceu também as funções de vice-rei. Dedicou-se intensamente ao culto da Santíssima Eucaristia, foi grande defensor da verdade católica e instruiu o seu povo com sólidos ensinamentos.</p>",(† 1611)
2024-01-06,"<p><strong>9.   </strong>Em Roma, São <strong>Carlos</strong> <strong>de Sezze</strong>, religioso da Ordem dos Frades Menores, que, obrigado desde a infância a procurar o seu sustento, induzia os companheiros à imitação de Cristo e dos Santos e, revestido finalmente com o hábito franciscano, como tanto desejava, se dedicou assiduamente à adoração do Santíssimo Sacramento.</p>",(† 1670)
2024-01-06,"<p><strong>10♦.</strong>   Em Casalmedinho, localidade próxima de Viseu, em Portugal, a Beata <strong>Rita Amada de Jesus</strong> (Rita Lopes Almeida), virgem, que, em tempos difíceis de perseguição religiosa e devassidão de costumes, entre grandes dificuldades e obstáculos fundou o Instituto Jesus Maria José, destinado a recolher e educar meninas pobres e abandonadas, promovendo também com grande diligência a dignidade integral das mulheres.</p>",(† 1913)
2024-01-06,"<p><strong>11.   </strong>Em Roma, Santa <strong>Rafaela Maria do Sagrado Coração</strong> (Rafaela Maria Porras Ayllón), virgem, que fundou a Congregação das Escravas do Sagrado Coração de Jesus e, considerada mentalmente incapacitada, passou santamente o resto da sua vida entregue ao sofrimento e à penitência.</p>",(† 1925)
2024-01-06,"<p><strong>12.   </strong>Em Montréal, no Quebec, região do Canadá, Santo <strong>André</strong> (Alfredo Bessette), religioso da Congregação da Santa Cruz, que edificou neste lugar um eminente santuário em honra de São José.</p>",(† 1937)
2024-01-06,"<p><strong>13♦.   </strong>Em Montcada, na Catalunha, região da Espanha, o Beato <strong>José Mariano dos Anjos</strong> (Mariano Alarcón Ruiz), presbítero da Ordem dos Carmelitas Descalços e mártir, que, durante a perseguição contra a Igreja, foi morto em ódio à religião.</p>",(†1937)
2024-01-07,"<p><big>São <strong>Raimundo de Penhaforte</strong>, presbítero da Ordem dos Pregadores, que foi exímio na ciência do Direito Canónico, escreveu obras de sólida doutrina e grande proveito sobre o sacramento da Penitência e, eleito mestre geral da sua Ordem, preparou para ela a redacção das novas Constituições. Em idade avançada, faleceu piedosamente em Barcelona, cidade da Espanha.</big></p>
<p> </p>",(† 1275)
2024-01-07,"<p><strong>2.   </strong>Em Melitene, na Arménia, hoje Malatya, na Turquia, São <strong>Polieucto</strong>, mártir, que, sendo soldado, constrangido pelo edito do imperador Décio a sacrificar aos deuses, quebrou as estátuas; por isso suportou muitos tormentos e, finalmente degolado, foi baptizado com o derramamento do seu sange.</p>",(† c. 250)
2024-01-07,"<p><strong>3.   </strong>Em Nicomédia, na Bitínia, hoje Izmit, na Turquia, a paixão de São <strong>Luciano</strong>, presbítero e mártir da Igreja de Antioquia, célebre pela sua sabedoria e eloquência, que, levado ao tribunal para contínuas interrogações acompanhadas de torturas, persistiu intrepidamente em declarar-se cristão.</p>",(† 312)
2024-01-07,"<p><strong>4*.   </strong>Em Passau, no Nórico, na actual Baviera, comemoração de São <strong>Valentim</strong>, bispo da Récia.</p>",(† c. 450)
2024-01-07,"<p><strong>5.   </strong>Em Pavia, na Ligúria, região da Itália, São <strong>Crispim</strong>, bispo.</p>",(† 467)
2024-01-07,"<p><strong>6*.   </strong>Em Chur, no território da Helvécia, actual Suíça, São <strong>Valentiniano</strong>, bispo, que socorreu os pobres com os seus bens, pagou o resgate de cativos e distribuiu vestes aos mais necessitados.</p>",(† 548)
2024-01-07,"<p><strong>7*.   </strong>Em Solignac, junto de Limoges, na Aquitânia, hoje na França, São <strong>Tilo</strong>, discípulo de Santo Elói, que foi artesão e monge.</p>",(† c. 702)
2024-01-07,"<p><strong>8*.   </strong>Em Constantinopla, hoje Istambul, na Turquia, São <strong>Ciro</strong>, bispo, que, sendo monge na Paflagónia, foi elevado à sede de Constantinopla, da qual foi depois expulso, morrendo no exílio.</p>",(† 714)
2024-01-07,"<p><strong>9*.   </strong>Em Le Mans, na Gália, hoje na França, Santo <strong>Alderico</strong>, bispo, que se dedicou com grande ardor ao culto de Deus e dos Santos.</p>",(† 856)
